simplified	traditional	pinyin	eng	level
唉	唉	ai1	interjection or grunt of agreement or recognition (e.g. yes, it's me!), to sigh,	5
唉	唉	ai4	interjection or grunt of agreement or recognition (e.g. yes, it's me!), to sigh,	5
爱护	愛護	ai4 hu4	to cherish, to treasure, to take care of, to love and protect,	5
爱惜	愛惜	ai4 xi1	to cherish, to treasure, to use sparingly,	5
爱心	愛心	ai4 xin1	compassion, CL:片[piàn],	5
安慰	安慰	an1 wei4	to comfort, to console, CL:個|个[gè],	5
安装	安裝	an1 zhuang1	to install, to erect, to fix, to mount, installation,	5
岸	岸	an4	bank, shore, beach, coast, CL:個|个[gè],	5
岸	岸	an4	bank, shore, beach, coast, CL:個|个[gè],	5
把握	把握	ba3 wo4	to grasp (also fig.), to seize, to hold, assurance, certainty, sure (of the outcome),	5
摆	擺	bai3	to arrange, to exhibit, to move to and fro, a pendulum,	5
摆	擺	bai3	to arrange, to exhibit, to move to and fro, a pendulum,	5
班主任	班主任	ban1 zhu3 ren4	teacher in charge of a class,	5
办理	辦理	ban4 li3	to handle, to transact, to conduct,	5
棒	棒	bang4	a stick, club or cudgel, smart, capable, strong, wonderful, classifier for legs of a relay race,	5
傍晚	傍晚	bang4 wan3	in the evening, when night falls, towards evening, at night fall, at dusk,	5
包裹	包裹	bao1 guo3	wrap up, bind up, bundle, parcel, package, CL:個|个[gè],	5
包含	包含	bao1 han2	to contain, to embody, to include,	5
包子	包子	bao1 zi5	steamed stuffed bun, CL:個|个[gè],	5
薄	薄	Bo2	thin, cold in manner, indifferent, weak, light, infertile,	5
薄	薄	bao2	thin, cold in manner, indifferent, weak, light, infertile,	5
薄	薄	bo2	thin, cold in manner, indifferent, weak, light, infertile,	5
薄	薄	bo4	thin, cold in manner, indifferent, weak, light, infertile,	5
宝贝	寶貝	bao3 bei4	treasured object, treasure, darling, baby, cowry, good-for-nothing or queer character,	5
宝贵	寶貴	bao3 gui4	valuable, precious, to value, to treasure, to set store by,	5
保持	保持	bao3 chi2	to keep, to maintain, to hold, to preserve,	5
保存	保存	bao3 cun2	to conserve, to preserve, to keep, to save (a file etc) (computing),	5
保留	保留	bao3 liu2	to retain, to continue to have, to preserve, to maintain, to reserve, reservations, to hold back (approval or acceptance),	5
保险	保險	bao3 xian3	insurance, to insure, safe, secure, be sure, be bound to, CL:份[fèn],	5
报告	報告	bao4 gao4	to inform, to report, to make known, speech, talk, lecture, CL:篇,份,個|个,通[tòng],	5
悲观	悲觀	bei1 guan1	pessimistic,	5
被子	被子	bei4 zi5	quilt, CL:床[chuáng],	5
背	背	bei1	the back of a body or object, to turn one's back, to hide something from, to learn by heart, to recite from memory, unlucky (slang), hard of hearing,	5
