level	word	pinyin	eng
1	爱	ài	to love, affection, to be fond of, to like,
1	八	bā	eight, 8,
1	爸爸	bà ba	(informal) father, CL:個|个,位[wèi],
1	杯子	bēi zi	cup, glass, CL:個|个,支,枝[zhī],
1	北京	Běi jīng	Beijing, capital of People's Republic of China, Peking, PRC government,
1	本	běn	roots or stems of plants, origin, source, this, the current, root, foundation, basis, classifier for books, periodicals, files etc, originally,
1	不客气	bù kè qi	you're welcome, impolite, rude, blunt, don't mention it,
1	不	bù	(negative prefix), not, no,
1	菜	cài	dish (type of food), vegetables, vegetable, cuisine, CL:盤|盘,道[dào],
1	茶	chá	tea, tea plant, CL:杯,壺|壶[hú],
1	吃	chī	to eat, to consume, to eat at (a cafeteria etc), to eradicate, to destroy, to absorb, to suffer,
1	出租车	chū zū chē	taxi, (Taiwan) rental car,
1	打电话	dǎ diàn huà	to make a telephone call,
1	大	dà	big, huge, large, major, great, wide, deep, oldest, eldest,
1	的	de	of, ~'s (possessive particle), (used after an attribute), (used to form a nominal expression), (used at the end of a declarative sentence for emphasis),
1	点	diǎn	point, dot, drop, speck, o'clock, point (in space or time), to draw a dot, to check on a list, to choose, to order (food in a restaurant), to touch briefly, to hint, to light, to ignite, to pour a liquid drop by drop, (old) one fifth of a two-hour watch 更[gēng], dot stroke in Chinese characters, classifier for items,
1	电脑	diàn nǎo	computer, CL:臺|台[tái],
1	电视	diàn shì	television, TV, CL:臺|台,個|个[gè],
1	电影	diàn yǐng	movie, film, CL:部,片,幕,場|场[chǎng],
1	东西	dōng xi	thing, stuff, person, CL:個|个,件[jiàn],
1	都	dōu	all, both, entirely, (used for emphasis) even, already, (not) at all,
1	读	dú	to read, to study, reading of word (i.e. pronunciation), similar to 拼音[pīn yīn],
1	对不起	duì bu qǐ	unworthy, to let down, I'm sorry, excuse me, pardon me, if you please, sorry? (please repeat),
1	多	duō	"many, much, a lot of, numerous, more, in excess, how (to what extent), multi-, Taiwan pr.  when it means ""how"","
1	多少	duō shao	how much, how many, which (number), as much as,
1	儿子	ér zi	son,
1	二	èr	two, 2, stupid (Beijing dialect),
1	饭馆	fàn guǎn	restaurant, CL:家[jiā],
1	飞机	fēi jī	airplane, CL:架[jià],
1	分钟	fēn zhōng	minute,
1	高兴	gāo xìng	happy, glad, willing (to do sth), in a cheerful mood,
1	个	gè	variant of 個|个[gè],
1	工作	gōng zuò	to work, (of a machine) to operate, job, work, task, CL:個|个,份,項|项[xiàng],
1	狗	gǒu	dog, CL:隻|只,條|条[tiáo],
1	汉语	Hàn yǔ	Chinese language, CL:門|门[mén],
1	好	hǎo	good, well, proper, good to, easy to, very, so, (suffix indicating completion or readiness),
1	喝	hē	to drink, My goodness!,
1	和	hé	and, together with, with, sum, union, peace, harmony, Japanese related, Taiwan pr. [hàn],
1	很	hěn	(adverb of degree), quite, very, awfully,
1	后面	hòu mian	rear, back, behind, later, afterwards,
1	回	huí	to curve, to return, to revolve,
1	会	huì	can, be possible, be able to, will, be likely to, be sure to, to assemble, to meet, to gather, to see, union, group, association, CL:個|个[gè], a moment (Taiwan pr. for this sense is ),
1	火车站	huǒ chē zhàn	train station,
1	几	jǐ	how much, how many, several, a few,
1	家	jiā	home, family, classifier for families or businesses, refers to the philosophical schools of pre-Han China, noun suffix for specialists in some activity such as musician or revolutionary, corresponds to English -ist, -er, -ary or -ian, CL:個|个[gè],
1	叫	jiào	to shout, to call, to order, to ask, to be called, by (indicates agent in the passive mood),
1	今天	jīn tiān	today, at the present, now,
1	九	jiǔ	nine, 9,
1	开	kāi	to open, to start, to turn on, to boil, to write out (a medical prescription), to operate (vehicle), abbr. for 開爾文|开尔文 degrees Kelvin,
1	看	kàn	to see, to look at, to read, to watch, to consider, to regard as, to view as, to treat as, to judge, (after repeated verb) to give it a try, depending on (how you're judging), to visit, to call on, to treat (an illness), to look after, Watch out! (for a danger),
1	看见	kàn jiàn	to see, to catch sight of,
1	块	kuài	lump (of earth), chunk, piece, classifier for pieces of cloth, cake, soap etc, colloquial word for yuan (or other unit of currency such as Hong Kong or US dollar etc), usually as 塊錢|块钱,
1	来	lái	to come, to arrive, to come round, ever since, next,
1	老师	lǎo shī	teacher, CL:個|个,位[wèi],
1	了	le	(modal particle intensifying preceding clause), (completed action marker),
1	冷	lěng	cold,
1	里	lǐ	li (Chinese mile), 500 meters (modern), home, hometown, village, neighborhood, administrative unit,
1	零	líng	zero, nought, zero sign, fractional, fragmentary, odd (of numbers), (placed between two numbers to indicate a smaller quantity followed by a larger one), fraction, (in mathematics) remainder (after division), extra, to wither and fall, to wither,
1	六	liù	six, 6,
1	妈妈	mā ma	mama, mommy, mother, CL:個|个,位[wèi],
1	吗	ma	(question tag),
1	买	mǎi	to buy, to purchase,
1	猫	māo	cat, CL:隻|只[zhī],
1	没	méi	(negative prefix for verbs), have not, not,
1	没关系	méi guān xi	it doesn't matter,
1	米饭	mǐ fàn	(cooked) rice,
1	明天	míng tiān	tomorrow,
1	名字	míng zi	name (of a person or thing), CL:個|个[gè],
1	哪	nǎ	how, which,
1	那	nà	that, those, then (in that case), commonly pr.  before a classifier, esp. in Beijing,
1	呢	ne	"particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?"", ""And ...?""), particle for inquiring about location (""Where is ...?""), particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board (""ok?"", ""are you with me?""), (at the end of a declarative sentence) particle indicating continuation of a state or action, particle indicating strong affirmation,"
1	能	néng	to be able to, to be capable of, ability, capability, able, capable, can possibly, (usually used in the negative) to have the possibility of,
1	你	nǐ	you (informal, as opposed to courteous 您),
1	年	nián	year, CL:個|个[gè],
1	女儿	nǚ ér	daughter,
1	朋友	péng you	friend, CL:個|个,位[wèi],
1	漂亮	piào liang	pretty, beautiful,
1	苹果	píng guǒ	apple, CL:個|个,顆|颗[kē],
1	七	qī	seven, 7,
1	钱	qián	coin, money, CL:筆|笔[bǐ], unit of weight, one tenth of a tael 兩|两[liǎng],
1	前面	qián miàn	ahead, in front, preceding, above,
1	请	qǐng	to ask, to invite, please (do sth), to treat (to a meal etc), to request,
1	去	qù	to go, to go to (a place), to cause to go or send (sb), to remove, to get rid of, (when used either before or after a verb) to go in order to do sth, to be apart from in space or time, (after a verb of motion indicates movement away from the speaker), (used after certain verbs to indicate detachment or separation), (of a time or an event etc) just passed or elapsed,
1	热	rè	to warm up, to heat up, hot (of weather), heat, fervent,
1	人	rén	man, person, people, CL:個|个,位[wèi],
1	认识	rèn shi	to know, to recognize, to be familiar with, to get acquainted with sb, knowledge, understanding, awareness, cognition,
1	日	rì	sun, day, date, day of the month, abbr. for 日本 Japan,
1	三	sān	three, 3,
1	商店	shāng diàn	store, shop, CL:家,個|个[gè],
1	上	shàng	on top, upon, above, upper, previous, first (of multiple parts), to climb, to get onto, to go up, to attend (class or university),
1	上午	shàng wǔ	morning, CL:個|个[gè],
1	少	shǎo	few, little, lack,
1	谁	shéi	who, also pr. [shuí],
1	什么	shén me	what?, who?, something, anything,
1	十	shí	ten, 10,
1	时候	shí hou	time, length of time, moment, period,
1	是	shì	is, are, am, yes, to be,
1	书	shū	book, letter, CL:本,冊|册,部[bù], see also 書經|书经 Book of History,
1	水	shuǐ	water, river, liquid, beverage, additional charges or income, (of clothes) classifier for number of washes,
