pinyin,hanzi,hsk,translation
ài,爱,1,"to love, affection, to be fond of, to like,"
bā,八,1,"eight, 8,"
bà ba,爸爸,1,"(informal) father, CL:個|个,位[wèi],"
bēi zi,杯子,1,"cup, glass, CL:個|个,支,枝[zhī],"
Běi jīng,北京,1,"Beijing, capital of People's Republic of China, Peking, PRC government,"
běn,本,1,"roots or stems of plants, origin, source, this, the current, root, foundation, basis, classifier for books, periodicals, files etc, originally,"
bù kè qi,不客气,1,"you're welcome, impolite, rude, blunt, don't mention it,"
bù,不,1,"(negative prefix), not, no,"
cài,菜,1,"dish (type of food), vegetables, vegetable, cuisine, CL:盤|盘,道[dào],"
chá,茶,1,"tea, tea plant, CL:杯,壺|壶[hú],"
chī,吃,1,"to eat, to consume, to eat at (a cafeteria etc), to eradicate, to destroy, to absorb, to suffer,"
chū zū chē,出租车,1,"taxi, (Taiwan) rental car,"
dǎ diàn huà,打电话,1,"to make a telephone call,"
dà,大,1,"big, huge, large, major, great, wide, deep, oldest, eldest,"
de,的,1,"of, ~'s (possessive particle), (used after an attribute), (used to form a nominal expression), (used at the end of a declarative sentence for emphasis),"
diǎn,点,1,"point, dot, drop, speck, o'clock, point (in space or time), to draw a dot, to check on a list, to choose, to order (food in a restaurant), to touch briefly, to hint, to light, to ignite, to pour a liquid drop by drop, (old) one fifth of a two-hour watch 更[gēng], dot stroke in Chinese characters, classifier for items,"
diàn nǎo,电脑,1,"computer, CL:臺|台[tái],"
diàn shì,电视,1,"television, TV, CL:臺|台,個|个[gè],"
diàn yǐng,电影,1,"movie, film, CL:部,片,幕,場|场[chǎng],"
dōng xi,东西,1,"thing, stuff, person, CL:個|个,件[jiàn],"
dōu,都,1,"all, both, entirely, (used for emphasis) even, already, (not) at all,"
dú,读,1,"to read, to study, reading of word (i.e. pronunciation), similar to 拼音[pīn yīn],"
duì bu qǐ,对不起,1,"unworthy, to let down, I'm sorry, excuse me, pardon me, if you please, sorry? (please repeat),"
duō,多,1,"many, much, a lot of, numerous, more, in excess, how (to what extent), multi-, Taiwan pr.  when it means ""how"","
duō shao,多少,1,"how much, how many, which (number), as much as,"
ér zi,儿子,1,"son,"
èr,二,1,"two, 2, stupid (Beijing dialect),"
fàn guǎn,饭馆,1,"restaurant, CL:家[jiā],"
fēi jī,飞机,1,"airplane, CL:架[jià],"
fēn zhōng,分钟,1,"minute,"
gāo xìng,高兴,1,"happy, glad, willing (to do sth), in a cheerful mood,"
gè,个,1,"variant of 個|个[gè],"
gōng zuò,工作,1,"to work, (of a machine) to operate, job, work, task, CL:個|个,份,項|项[xiàng],"
gǒu,狗,1,"dog, CL:隻|只,條|条[tiáo],"
Hàn yǔ,汉语,1,"Chinese language, CL:門|门[mén],"
hǎo,好,1,"good, well, proper, good to, easy to, very, so, (suffix indicating completion or readiness),"
hē,喝,1,"to drink, My goodness!,"
hé,和,1,"and, together with, with, sum, union, peace, harmony, Japanese related, Taiwan pr. [hàn],"
hěn,很,1,"(adverb of degree), quite, very, awfully,"
hòu mian,后面,1,"rear, back, behind, later, afterwards,"
huí,回,1,"to curve, to return, to revolve,"
huì,会,1,"can, be possible, be able to, will, be likely to, be sure to, to assemble, to meet, to gather, to see, union, group, association, CL:個|个[gè], a moment (Taiwan pr. for this sense is ),"
huǒ chē zhàn,火车站,1,"train station,"
jǐ,几,1,"how much, how many, several, a few,"
jiā,家,1,"home, family, classifier for families or businesses, refers to the philosophical schools of pre-Han China, noun suffix for specialists in some activity such as musician or revolutionary, corresponds to English -ist, -er, -ary or -ian, CL:個|个[gè],"
jiào,叫,1,"to shout, to call, to order, to ask, to be called, by (indicates agent in the passive mood),"
jīn tiān,今天,1,"today, at the present, now,"
jiǔ,九,1,"nine, 9,"
kāi,开,1,"to open, to start, to turn on, to boil, to write out (a medical prescription), to operate (vehicle), abbr. for 開爾文|开尔文 degrees Kelvin,"
kàn,看,1,"to see, to look at, to read, to watch, to consider, to regard as, to view as, to treat as, to judge, (after repeated verb) to give it a try, depending on (how you're judging), to visit, to call on, to treat (an illness), to look after, Watch out! (for a danger),"
kàn jiàn,看见,1,"to see, to catch sight of,"
kuài,块,1,"lump (of earth), chunk, piece, classifier for pieces of cloth, cake, soap etc, colloquial word for yuan (or other unit of currency such as Hong Kong or US dollar etc), usually as 塊錢|块钱,"
lái,来,1,"to come, to arrive, to come round, ever since, next,"
lǎo shī,老师,1,"teacher, CL:個|个,位[wèi],"
le,了,1,"(modal particle intensifying preceding clause), (completed action marker),"
lěng,冷,1,"cold,"
lǐ,里,1,"li (Chinese mile), 500 meters (modern), home, hometown, village, neighborhood, administrative unit,"
líng,零,1,"zero, nought, zero sign, fractional, fragmentary, odd (of numbers), (placed between two numbers to indicate a smaller quantity followed by a larger one), fraction, (in mathematics) remainder (after division), extra, to wither and fall, to wither,"
liù,六,1,"six, 6,"
mā ma,妈妈,1,"mama, mommy, mother, CL:個|个,位[wèi],"
ma,吗,1,"(question tag),"
mǎi,买,1,"to buy, to purchase,"
māo,猫,1,"cat, CL:隻|只[zhī],"
méi,没,1,"(negative prefix for verbs), have not, not,"
méi guān xi,没关系,1,"it doesn't matter,"
mǐ fàn,米饭,1,"(cooked) rice,"
míng tiān,明天,1,"tomorrow,"
míng zi,名字,1,"name (of a person or thing), CL:個|个[gè],"
nǎ,哪,1,"how, which,"
